id,text,options
1,"O cheiro de sangue e ferro paira pesado no ar gelado da madrugada. Você é o detetive Miller e acaba de chegar à mansão Blackwood. Uma sirene distante ainda uiva; a cena do crime está fresca. Um oficial de rosto pálido o aguarda na porta. ""Detetive. O corpo está na sala de estudos"" ele diz com a voz embargada. O que você faz primeiro?","[{'Entrar na sala de estudos imediatamente': 2}, {'Fazer uma varredura rápida na entrada': 3}]"
2,"Você entra na sala de estudos. A luz fraca revela um caos elegante. Livros espalhados; uma poltrona virada; e no centro jaz o corpo de Arthur Blackwood em uma poça carmesim. Os olhos arregalados; ele foi esfaqueado múltiplas vezes. Você se ajoelha para uma inspeção inicial.","[{'Examinar o corpo de perto': 4}, {'Procurar a arma do crime': 5}]"
3,"Você decide inspecionar a entrada. O chão de mármore brilhante não revela pegadas óbvias. Há um pequeno vaso de flores derrubado perto da porta e algumas pétalas espalhadas. O oficial observa você em silêncio. ""Encontrou algo; Detetive?"" ele pergunta.","[{'Entrar na sala de estudos agora': 2}, {'Perguntar ao oficial sobre a chegada dele': 6}]"
4,"O corpo de Arthur Blackwood está rígido. Os cortes são profundos; precisos. Nenhuma defesa aparente; mas há um pequeno medalhão de prata apertado em sua mão direita. É um objeto que não parece pertencer a ele. Ele está ligeiramente amassado.","[{'Tentar abrir o medalhão': 7}, {'Verificar os bolsos do falecido': 8}]"
5,"Você procura a arma do crime. Seus olhos percorrem o chão; as estantes repletas de tomos antigos. Nada óbvio. Uma gaveta de escrivaninha está entreaberta; um pouco de papelada espalhada. Poderia estar lá?","[{'Examinar a gaveta da escrivaninha': 9}, {'Voltar a examinar o corpo': 4}]"
6,"""Chegamos há uns quinze minutos"" o oficial responde. ""A vizinha ligou após ouvir um grito. A porta estava aberta. Não tocamos em nada; prometo."" Ele parece genuinamente abalado. Você sente uma pontada de preocupação.","[{'Perguntar sobre a vizinha que ligou': 10}, {'Entrar na sala de estudos': 2}]"
7,"Você tenta abrir o medalhão. Ele é antigo; com uma gravação borrada. Após um esforço; ele se abre para revelar uma pequena fotografia desbotada. Uma mulher jovem; sorrindo. Ela é familiar.","[{'Mostrar a foto ao oficial': 11}, {'Guardar o medalhão para análise posterior': 12}]"
8,"Você verifica os bolsos do falecido. Encontra uma carteira vazia; um lenço de seda monogramado e uma chave pequena de metal. A chave não se parece com nenhuma chave de porta comum.","[{'Procurar a fechadura correspondente': 13}, {'Focar novamente no medalhão na mão dele': 7}]"
9,"A gaveta da escrivaninha contém papéis comerciais; algumas canetas; e um bilhete rabiscado. O bilhete diz: ""Encontro hoje à noite. Não se atrase. A verdade virá à tona."" Não há assinatura.","[{'Mostrar o bilhete ao oficial': 14}, {'Esconder o bilhete para investigar sozinho': 15}]"
10,"""A Sra. Gable; a da casa ao lado"" o oficial aponta para a janela. ""Ela está muito nervosa. A equipe de investigação está a caminho; mas ainda não chegou."" A Sra. Gable pode ter visto ou ouvido algo crucial.","[{'Ir falar com a Sra. Gable': 16}, {'Continuar a investigar dentro da mansão': 2}]"
11,"""Essa é a Sra. Eleanor Vance!"" o oficial exclama. ""A esposa do antigo parceiro de negócios de Blackwood. Ela se mudou há anos depois que o marido sumiu. O que ela estaria fazendo aqui?"" A revelação muda tudo.","[{'Procurar por fotos ou documentos de Eleanor Vance': 17}, {'Investigar a relação entre Blackwood e Vance': 18}]"
12,"Você guarda o medalhão com a foto da mulher. É um indício importante; mas pode ser prematuro revelar todos os seus achados. É melhor manter algumas informações em segredo por enquanto.","[{'Continuar a investigar o corpo': 8}, {'Voltar a procurar a arma do crime': 5}]"
13,"Você procura por uma fechadura que corresponda à chave. Sua atenção é atraída por uma pequena caixa de madeira escura em uma estante alta. Ela parece antiga e intocada há anos.","[{'Tentar abrir a caixa com a chave': 19}, {'Ignorar a caixa e focar em outras pistas': 20}]"
14,"""Um bilhete como este pode ser a chave!"" o oficial diz animado. ""Parece uma ameaça ou um encontro importante. Temos que encontrar quem escreveu isso."" Ele insiste em chamar reforços.","[{'Permitir que o oficial chame reforços imediatamente': 21}, {'Sugeri-lo a esperar e investigar mais um pouco': 22}]"
15,"Você decide esconder o bilhete. Se for um encontro secreto; a pessoa que o escreveu pode ainda estar por perto ou tentar cobrir seus rastros. É melhor ter a vantagem da surpresa.","[{'Procurar por câmeras de segurança': 23}, {'Investigar a vizinha; Sra. Gable': 16}]"
16,"Você vai até a Sra. Gable. Ela é uma senhora idosa e frágil. ""Eu ouvi um grito horrível; Detetive"" ela sussurra; os olhos marejados. ""Vi uma sombra sair correndo pela parte de trás da casa. Parecia uma mulher alta; de capuz.""","[{'Perguntar sobre a direção da fuga': 24}, {'Perguntar se ela viu o rosto': 25}]"
17,"Você encontra alguns álbuns de fotos antigos. Em uma das fotos; Arthur Blackwood e Eleanor Vance estão lado a lado; jovens e sorrindo. Havia claramente uma história entre eles.","[{'Aprofundar a busca por documentos sobre Eleanor': 26}, {'Considerar Eleanor Vance como principal suspeita': 27}]"
18,"A história de Blackwood e Vance é bem conhecida. Parceiros de negócios; rumores de um romance; até o marido dela desaparecer misteriosamente. Blackwood herdou tudo. Poderia ser vingança?","[{'Procurar por qualquer ligação atual entre eles': 26}, {'Focar em quem mais tinha motivos': 28}]"
19,"A chave se encaixa perfeitamente na caixa de madeira. Dentro; você encontra um diário antigo. Suas páginas estão cheias de anotações sobre negócios escuros; chantagem; e o nome ""Eleanor"" aparece várias vezes com um tom de obsessão.","[{'Ler as últimas entradas do diário': 29}, {'Mostrar o diário ao oficial': 30}]"
20,"Você ignora a caixa. Pode ser apenas um trinket antigo sem importância. Há muito mais para investigar na cena do crime para perder tempo com isso.","[{'Reavaliar as pistas iniciais': 4}, {'Procurar por janelas ou outras saídas': 23}]"
21,"O oficial faz a ligação. Em minutos; a mansão é invadida por peritos. Eles assumem o controle. Você sente que perdeu a oportunidade de uma investigação mais pessoal e detalhada.","[{'Cooperar com a equipe e compartilhar o bilhete': 31}, {'Observar a equipe de longe e focar em suas próprias pistas': 32}]"
22,"""Talvez seja melhor manter isso entre nós por enquanto"" você sugere. ""Quero seguir essa pista antes que ela esfrie."" O oficial hesita; mas concorda. Ele confia na sua intuição.","[{'Procurar por câmeras de segurança na propriedade': 23}, {'Falar com a vizinha; Sra. Gable': 16}]"
23,"Você procura por câmeras de segurança. A mansão é antiga; mas há um sistema discreto instalado. As gravações mostram uma figura encapuzada entrando e saindo. O rosto não é visível.","[{'Tentar identificar a figura pela estatura/caminhada': 33}, {'Mostrar as gravações ao oficial': 31}]"
24,"""Ela correu na direção do bosque; Detetive. Para o leste"" a Sra. Gable indica com um dedo trêmulo. ""Nunca vi nada assim."" O bosque é denso e escuro.","[{'Ir para o bosque imediatamente': 34}, {'Investigar outras pistas na mansão primeiro': 2}]"
25,"""Não; estava muito escuro. E ela estava com o capuz. Mas era uma mulher; tenho certeza. Alta; e tinha um andar... peculiar"" a Sra. Gable descreve. Você sente uma estranha sensação de familiaridade.","[{'Comparar a descrição com Eleanor Vance': 35}, {'Continuar a investigar a mansão': 2}]"
26,"Você encontra um artigo de jornal antigo. Detalha o desaparecimento de Mark Vance; marido de Eleanor; e como Arthur Blackwood se beneficiou da tragédia. A matéria sugere um caso entre Blackwood e Eleanor.","[{'Isso fortalece a teoria de Eleanor como suspeita': 27}, {'Buscar provas da presença de Eleanor na cidade': 36}]"
27,"Eleanor Vance é a principal suspeita. Vingança; dinheiro; um passado conturbado. Todas as peças se encaixam. Você tem uma boa razão para interrogá-la.","[{'Emitir um mandado de prisão para Eleanor Vance': 37}, {'Procurar por mais evidências concretas antes de agir': 36}]"
28,"Quem mais tinha motivos? Um rival de negócios; um ex-amante; alguém que Blackwood pode ter chantageado. O bilhete na escrivaninha indica um encontro.","[{'Procurar por correspondências recentes': 38}, {'Voltar a investigar o corpo por mais pistas': 4}]"
29,"As últimas entradas do diário são perturbadoras. Blackwood descreve uma obsessão doentia por Eleanor; e um plano para tê-la de volta. Ele menciona um ""encontro crucial"" e que ""ela pagaria pelo que fez"".","[{'Isso contradiz a ideia de Eleanor como assassina': 39}, {'Ainda assim; Eleanor tinha motivos de vingança': 37}]"
30,"O oficial lê o diário. Seus olhos se arregalam. ""Isso muda tudo! Blackwood estava perseguindo Eleanor Vance! Ela pode ter agido em legítima defesa. Ou ele foi morto por outra pessoa envolvida.""","[{'Investigar Eleanor Vance como vítima ou assassina': 39}, {'Chamar reforços e compartilhar a descoberta': 31}]"
31,"A equipe de investigação assume. Você compartilha suas descobertas: o bilhete; a foto de Eleanor; o diário. Eles ficam impressionados com suas descobertas iniciais. A investigação oficial avança rapidamente; mas você sente que o mistério não é totalmente seu.","[]"
32,"Você observa a equipe. Eles não encontram o diário; nem o medalhão que você guardou. Você sabe que tem pistas que eles não têm. A investigação paralela é perigosa; mas pode revelar a verdade completa.","[{'Continuar a investigar Eleanor por conta própria': 37}, {'Usar suas pistas para manipular a investigação oficial': 40}]"
33,"Você analisa a estatura e o andar da figura encapuzada. É alta; ágil. Não é a Sra. Gable. A forma de caminhar tem uma elegância peculiar. Essa descrição se encaixa com Eleanor Vance.","[{'Isso confirma Eleanor como suspeita': 27}, {'Buscar por outras figuras com características semelhantes': 38}]"
34,"O bosque é denso e úmido. As folhas crepitam sob seus pés. Você encontra um lenço de seda caído no chão; monogramado com as iniciais ""E.V."". Não há dúvidas. Eleanor Vance esteve aqui.","[{'Rastrear a fuga de Eleanor no bosque': 36}, {'Voltar para a mansão com a nova prova': 37}]"
35,"A descrição da Sra. Gable da mulher alta e de capuz, com um ""andar peculiar"" se encaixa na Eleanor Vance que você conhece de artigos antigos. Uma figura enigmática.","[{'Focar a investigação em Eleanor Vance': 27}, {'Procurar por outras testemunhas na área': 10}]"
36,"Você descobre que Eleanor Vance tem um apartamento secreto na cidade. Ela estava se escondendo; mas não fugindo. Isso sugere que ela tinha uma razão para estar perto.","[{'Ir até o apartamento de Eleanor imediatamente': 37}, {'Montar vigilância no apartamento': 40}]"
37,"Você emite um mandado de prisão para Eleanor Vance. Ela é encontrada em seu apartamento; calma e serena. ""Eu sabia que você viria; Detetive"" ela diz. ""Arthur mereceu. Mas não fui eu."" O mistério se aprofunda.","[]"
38,"Você encontra correspondências recentes de Blackwood com um advogado. Ele estava mudando seu testamento; deixando tudo para uma instituição de caridade; excluindo sua sobrinha. A sobrinha tinha um temperamento volátil.","[{'Investigar a sobrinha de Blackwood': 39}, {'Ignorar e focar em Eleanor Vance': 27}]"
39,"A sobrinha de Blackwood; Clara. Ela tinha um histórico de problemas de raiva e sabia sobre o novo testamento. Ela tinha a motivação e a oportunidade. O encontro mencionado no bilhete pode ter sido com ela.","[]"
40,"Você decide manipular a investigação oficial. Usa suas pistas para desviar o foco para um rival de negócios de Blackwood; enquanto você secretamente persegue Eleanor. Você acredita que a verdade é mais complexa do que parece.","[]"
