id,text,options
1,"Você acorda em um banheiro sujo com uma dor de cabeça nuclear. Sua camisa está grudada no peito - com sangue ou molho de burrito?","[{'Mentir para Vanessa': 2}, {'Confessar que esqueceu o aniversário': 3}, {'Ignorar e verificar armas': 4}]"
2,"'Claro que lembrei docinho! Estou comprando um presente AGORA!'. Seu reflexo no espelho faz um gesto obsceno.","[{'Ir comprar presente': 5}, {'Matar o alvo primeiro': 6}]"
3,"'Eu esqueci. Mas juro que foi culpa do Wolverine!'. Longo silêncio. Dois homens de terno arrombam a porta.","[{'Atacar os intrusos': 7}, {'Pedir para Vanessa segurar a linha': 8}]"
4,"Você encontra dois revólveres e uma katana. Um bilhete diz: 'Peguei seu chimichanga. Ass: Logan'.","[{'Caçar Wolverine': 9}, {'Focar na missão': 10}]"
5,"Na loja de presentes só há coisas horríveis. O vendedor é Cable. '100 anos no futuro e ainda vendo estas porcarias'.","[{'Comprar urso radioativo': 11}, {'Perguntar sobre o futuro': 12}]"
6,"O alvo é Kingpin. Ele está discursando sobre 'ética nos negócios'. Você tem um rifle e vista para o buffet.","[{'Atirar agora': 13}, {'Se infiltrar como garçom': 14}]"
7,"Você esquarteja os homens mas são LMDs. Uma voz grava: 'Cumprimentos do Arnim Zola!'.","[{'Perseguir pistas': 15}, {'Ligar para Nick Fury': 16}]"
8,"'Querida segura um pou-WHOA!'. Você desvia de um taco de baseball com pregos. É sua senhoria.","[{'Pagar o aluguel': 17}, {'Fugir pela janela': 18}]"
9,"Você encontra Logan num bar. Seu chimichanga está INTACTO na mesa. Ele rosna: 'Você de novo?'.","[{'Lutar pelo chimichanga': 19}, {'Provocá-lo': 20}]"
10,"Kingpin está cercado por ninjas. 'Contratei os Hand pra me proteger DE VOCÊ!'.","[{'Atacar todos': 21}, {'Negociar': 22}]"
11,"O urso de pelúcia ganha vida e ataca Cable. 'POR QUE SEMPRE ISSO?!', ele grita atirando lasers.","[]"
12,"Cable suspira: 'Em 2050 você é presidente. É tão ruim quanto parece'. Seu telefone explode.","[]"
13,"Kingpin cai mas seu último suspiro é: 'Sua piada do chimichanga... era boa'. Você fica emocionado.","[]"
14,"Seu disfarce é péssimo. 'Deadpool você está de shortinho e máscara', diz Kingpin. 'Estiloso!' você rebate.","[]"
15,"Você segue rastros de óleo até um laboratório. Dentro, vários Deadpools clones estão em tanques.","[{'Destruir o laboratório': 23}, {'Libertar os clones': 24}]"
16,"Nick Fury atende: 'O QUE VOCÊ FEZ AGORA?'. Você ouve vidros quebrando ao fundo. 'Nada... ainda'.","[{'Pedir ajuda': 25}, {'Desligar rápido': 26}]"
17,"Você paga com balas de borracha. A senhoria fica mais brava. 'Isso nem é dinheiro!'.","[{'Tentar outra coisa': 27}, {'Fugir de vez': 28}]"
18,"Você cai num beco cheio de gatos. Eles te olham com desdém. Um tem um colar da Hydra.","[{'Roubar o gato': 29}, {'Ignorar gatos': 30}]"
19,"Logan corta sua katana ao meio. 'Vovô garras!' você grita. Ele fica mais bravo. Luta começa.","[{'Improvisar armas': 31}, {'Chamar reforços': 32}]"
20,"'Lá vem o Senhor Sem-Cérebro' você provoca. Logan rosna e avança. É exatamente o que você queria.","[{'Lutar sério': 33}, {'Fugir cantando': 34}]"
21,"Você mata 15 ninjas em 8 segundos. Kingpin aplaude. 'Quase tão bom quanto o Demolidor'. Ofendido você atira nele.","[]"
22,"'Dou 50% de desconto se me der um autógrafo'. Kingpin ri e assina seu peito com caneta permanente.","[]"
23,"Os tanques de clones explodem. 'Você arruinou anos de pesquisa!' grita um cientista. Você dá um autógrafo pra ele.","[]"
24,"Os clones são instáveis. Eles começam uma coreografia de 'Thriller'. Você se junta.","[]"
25,"Fury envia a Cavaleira Negra. 'Sério? Esse cara?' você pergunta. Ele empalha seu pé.","[{'Lutar': 35}, {'Fazer piadas': 36}]"
26,"Você desliga e queima o telefone. Dois helicópteros da SHIELD aparecem. 'Oops'.","[{'Se render': 37}, {'Lutar contra helicópteros': 38}]"
27,"Você tenta pagar com criptomoedas. A senhoria quase tem um infarto. 'Isso nem existe!'.","[{'Fugir pelo telhado': 39}, {'Fingir desmaio': 40}]"
28,"Você some por 6 meses. Quando volta seu apartamento virou uma loja de smoothies.","[]"
29,"O gato da Hydra morde seu rosto. Agora você fala felinês. 'Mrrrrow (isso foi ruim)'.","[]"
30,"Você ignora os gatos. Mais tarde eles roubam sua máscara e postam selfies.","[]"
31,"Você usa uma torradeira como arma. Logan fica confuso o suficiente para você roubar seu chimichanga.","[]"
32,"Você liga para os X-Men. Ciclope atende: 'NÃO'. 'Mas nem ouviu o que-'. 'NÃO'.","[]"
33,"Você e Logan se destroem mutuamente. Em 5 minutos vocês regeneram e vão beber juntos.","[]"
34,"Você foge cantando 'Let It Go'. Logan fica tão envergonhado que desiste de te perseguir.","[]"
35,"Você derrota o Cavaleiro Negra com uma piada tão ruim que ele pede pra ser morto.","[]"
36,"Sua piada sobre cavalos é tão ruim que o Cavaleiro desmonta e chora. Vitória?","[]"
37,"Você se rende. Fury te coloca numa cela com o Doutor Destino. Ele reclama do barulho.","[]"
38,"Você derruba os helicópteros com estilingue e pedras. Fury tem um aneurisma.","[]"
39,"Você escapa pelo telhado. A senhoria jura vingança. Você sente que isso vai acabar mal.","[]"
40,"Você desmaia dramaticamente. Quando acorda está num comercial de seguros. 'Como?!'.","[]"
